source,edge_name,target
P38405,enables,guanyl_nucleotide_binding
P21675,enables,histone_acetyltransferase_activity
Q9UMN6,enables,histone_H3K4_methyltransferase_activity
Q9UMN6,enables,histone_H3K4_trimethyltransferase_activity
Q9UMN6,part_of,histone_methyltransferase_complex
Q9H270,part_of,HOPS_complex
Q9H269,part_of,HOPS_complex
P30793,enables,hydrolase_activity
Q8N490,enables,hydrolase_activity
O14656,enables,hydrolase_activity
Q8N490,enables,hydroxyacylglutathione_hydrolase_activity
P84074,enables,identical_protein_binding
Q8N5Z5,enables,identical_protein_binding
P84074,involved_in,inner_ear_development
P04350,located_in,intercellular_bridge
O14656,located_in,intracellular_membrane_bounded_organelle
Q9H269,located_in,intracellular_membrane_bounded_organelle
P13637,involved_in,intracellular_potassium_ion_homeostasis
Q9H270,involved_in,intracellular_protein_transport
Q9H269,involved_in,intracellular_protein_transport
P13637,involved_in,intracellular_sodium_ion_homeostasis
Q9H270,involved_in,intracellular_transport
P19525,enables,kinase_activity
O75569,enables,kinase_activity
Q9H270,located_in,late_endosome_membrane
Q9H269,located_in,late_endosome_membrane
Q9BV79,involved_in,lipid_metabolic_process
Q9H270,located_in,lysosomal_membrane
Q9H269,located_in,lysosomal_membrane
Q9H270,located_in,lysosome
Q9H269,located_in,lysosome
Q9BYT9,located_in,membrane
P13637,located_in,membrane
P84074,located_in,membrane
Q9H2S1,located_in,membrane
Q8N490,located_in,membrane
Q7Z6L0,is_active_in,membrane
O43556,located_in,membrane
P11166,located_in,membrane
Q8N4L1,located_in,membrane
O14656,located_in,membrane
Q9H270,located_in,membrane
Q9H269,located_in,membrane
P30793,involved_in,metabolic_process
P13637,enables,metal_ion_binding
P38405,enables,metal_ion_binding
P84074,enables,metal_ion_binding
Q9UMN6,enables,metal_ion_binding
Q8N490,enables,metal_ion_binding
Q9H270,enables,metal_ion_binding
Q8N6M6,enables,metalloaminopeptidase_activity
Q8N6M6,enables,metallopeptidase_activity
Q9UMN6,involved_in,methylation
Q8N490,involved_in,methylglyoxal_catabolic_process_to_D_lactate_via_S_lactoyl_glutathione
Q9UMN6,enables,methyltransferase_activity
P04350,located_in,microtubule
P04350,involved_in,microtubule_based_process
O75569,involved_in,middle_ear_morphogenesis
Q9BV79,located_in,mitochondrion
Q8N490,located_in,mitochondrion
O95153,located_in,mitochondrion
P04350,located_in,mitotic_spindle
Q9UMN6,part_of,MLL_1_2_complex
Q9H2S1,involved_in,monoatomic_ion_transmembrane_transport
P13637,involved_in,monoatomic_ion_transport
Q9H2S1,involved_in,monoatomic_ion_transport
Q8N490,involved_in,negative_regulation_of_neurotransmitter_secretion
Q6PI26,involved_in,negative_regulation_of_rRNA_processing
Q7Z6L0,involved_in,negative_regulation_of_short_term_synaptic_potentiation
Q7Z6L0,involved_in,negative_regulation_of_SNARE_complex_assembly
Q8N490,involved_in,neuromuscular_process_controlling_posture
Q7Z6L0,involved_in,neuromuscular_process_controlling_posture
Q7Z3B4,located_in,nuclear_envelope
Q7Z3B4,part_of,nuclear_pore
Q8N6M6,located_in,nucleolus
Q6PI26,located_in,nucleoplasm
Q9NVV9,located_in,nucleoplasm
P13637,enables,nucleotide_binding
P19525,enables,nucleotide_binding
P38405,enables,nucleotide_binding
O14656,enables,nucleotide_binding
P04350,enables,nucleotide_binding
P30793,located_in,nucleus
Q9UMN6,located_in,nucleus
Q7Z3B4,located_in,nucleus
P21675,located_in,nucleus
Q9NVV9,located_in,nucleus
O14656,located_in,nucleus
P30793,involved_in,obsolete_7_8_dihydroneopterin_3__triphosphate_biosynthetic_process
O75569,involved_in,outer_ear_morphogenesis
Q9BV79,enables,oxidoreductase_activity
P13637,enables,P_type_potassium_transmembrane_transporter_activity
P13637,enables,P_type_sodium_potassium_exchanging_transporter_activity
O75569,located_in,perinuclear_region_of_cytoplasm
Q9BYT9,enables,phospholipid_scramblase_activity
P19525,involved_in,phosphorylation
O75569,involved_in,phosphorylation
P11166,located_in,photoreceptor_inner_segment
Q9BYT9,is_active_in,plasma_membrane
P13637,is_active_in,plasma_membrane
Q7Z6L0,located_in,plasma_membrane
O43556,located_in,plasma_membrane
P11166,located_in,plasma_membrane
Q6PI26,involved_in,positive_regulation_of_apoptotic_process
Q8N5Z5,involved_in,positive_regulation_of_cilium_assembly
O75569,involved_in,positive_regulation_of_intrinsic_apoptotic_signaling_pathway
P13637,involved_in,potassium_ion_import_across_plasma_membrane
Q9H2S1,involved_in,potassium_ion_transmembrane_transport
P13637,involved_in,potassium_ion_transport
Q9H2S1,involved_in,potassium_ion_transport
Q7Z6L0,located_in,presynapse
Q8N490,located_in,presynaptic_cytosol
Q7Z6L0,located_in,presynaptic_membrane
Q8N5Z5,involved_in,proteasome_mediated_ubiquitin_dependent_protein_catabolic_process
Q9H269,part_of,protein_containing_complex
Q9BYT9,enables,protein_dimerization_activity
Q8N5Z5,involved_in,protein_homooligomerization
P19525,enables,protein_kinase_activity
Q6PI26,involved_in,protein_RNA_complex_assembly
P21675,enables,protein_serine_threonine_kinase_activity
Q9H270,involved_in,protein_transport
Q9H269,involved_in,protein_transport
P13637,involved_in,proton_transmembrane_transport
Q7Z6L0,involved_in,regulation_of_calcium_dependent_activation_of_synaptic_vesicle_fusion
Q9UMN6,involved_in,regulation_of_DNA_templated_transcription
Q9NVV9,involved_in,regulation_of_DNA_templated_transcription
Q8N490,involved_in,regulation_of_dopamine_metabolic_process
O95153,involved_in,regulation_of_presynaptic_cytosolic_calcium_ion_concentration
Q8N490,involved_in,regulation_of_synaptic_transmission__dopaminergic
P19525,enables,RNA_binding
O75569,enables,RNA_binding
P21675,enables,RNA_polymerase_II_general_transcription_initiation_factor_binding
O43556,part_of,sarcoglycan_complex
O43556,located_in,sarcolemma
Q9NVV9,enables,sequence_specific_DNA_binding
P12111,enables,serine_type_endopeptidase_inhibitor_activity
P38405,involved_in,signal_transduction
O75569,involved_in,skeletal_system_morphogenesis
Q9H2S1,enables,small_conductance_calcium_activated_potassium_channel_activity
P13637,involved_in,sodium_ion_export_across_plasma_membrane
P13637,involved_in,sodium_ion_transport
P04350,enables,structural_constituent_of_cytoskeleton
Q7Z6L0,located_in,synaptic_vesicle
Q7Z6L0,involved_in,synaptic_vesicle_fusion_to_presynaptic_active_zone_membrane
Q7Z6L0,enables,syntaxin_1_binding
P21675,enables,TBP_class_protein_binding
P30793,involved_in,tetrahydrobiopterin_biosynthetic_process
P30793,involved_in,tetrahydrofolate_biosynthetic_process
P21675,involved_in,transcription_by_RNA_polymerase_II
P21675,part_of,transcription_factor_TFIID_complex
P19525,enables,transferase_activity
Q9UMN6,enables,transferase_activity
P19525,enables,translation_initiation_factor_activity
P19525,involved_in,translational_initiation
P11166,involved_in,transmembrane_transport
P11166,enables,transmembrane_transporter_activity
Q8N5Z5,enables,ubiquitin_ligase_substrate_adaptor_activity
Q9UMN6,enables,unmethylated_CpG_binding
Q9H269,involved_in,vacuole_organization
Q7Z6L0,located_in,vesicle
Q9H270,involved_in,vesicle_mediated_transport
Q9H270,part_of,vesicle_tethering_complex
O95153,enables,voltage_gated_calcium_channel_activity_involved_in_regulation_of_presynaptic_cytosolic_calcium_levels
Q8N6M6,enables,zinc_ion_binding
Q9UMN6,enables,zinc_ion_binding
